ID,施設名,施設名フリガナ,施設種別,区・町名,住所,緯度,経度
1130,明治小学校,メイジショウガッコウ,地下式給水栓,名古屋市南区,明治二丁目3-50,35.11024922,136.9051795
1131,笠寺小学校,カサデラショウガッコウ,地下式給水栓,名古屋市南区,本星崎町字本城765,35.09015419,136.934346
1132,星崎小学校,ホシザキショウガッコウ,地下式給水栓,名古屋市南区,南野三丁目163,35.07863369,136.9323399
1133,宝南小学校,ホウナンショウガッコウ,地下式給水栓,名古屋市南区,堤起町3丁目48,35.08486516,136.9193843
1134,大生小学校,タイセイショウガッコウ,地下式給水栓,名古屋市南区,西又兵ヱ町3丁目76,35.09429542,136.91772
1135,千鳥小学校,チドリショウガッコウ,地下式給水栓,名古屋市南区,三吉町6丁目1,35.07370857,136.9197763
1136,笠東小学校,リュウトウショウガッコウ,地下式給水栓,名古屋市南区,芝町113,35.09658291,136.9445131
1137,豊田小学校,トヨダショウガッコウ,地下式給水栓,名古屋市南区,豊田一丁目19-23,35.10493764,136.9124779
1138,白水小学校,ハクスイショウガッコウ,地下式給水栓,名古屋市南区,松下町2丁目1,35.07617302,136.9145617
1139,柴田小学校,シバタショウガッコウ,地下式給水栓,名古屋市南区,白水町19,35.07514376,136.904789
1140,白沢小学校,シラサワショウガッコウ,地下式給水栓,名古屋市守山区,白沢町233,35.21304295,136.9719374
1141,天子田小学校,アマコダショウガッコウ,地下式給水栓,名古屋市守山区,天子田二丁目1501,35.19855387,137.0057596
1142,森孝西小学校,モリタカニシショウガッコウ,地下式給水栓,名古屋市守山区,森孝一丁目1108,35.19493067,137.0042522
1143,志段味西小学校,シダミニシショウガッコウ,地下式給水栓,名古屋市守山区,深沢一丁目177,35.23909258,137.0101896
1144,志段味東小学校,シダミヒガシショウガッコウ,地下式給水栓,名古屋市守山区,上志段味道光306,35.25387407,137.0324184
1145,吉根小学校,キッコショウガッコウ,地下式給水栓,名古屋市守山区,吉根一丁目1601,35.23426076,136.9979551
1146,廿軒家小学校,ニジュッケンヤショウガッコウ,地下式給水栓,名古屋市守山区,更屋敷16-16,35.19317122,136.9611194
1147,森孝東小学校,モリタカヒガシショウガッコウ,地下式給水栓,名古屋市守山区,森孝東一丁目442,35.19156786,137.0210578
1148,二城小学校,ニジョウショウガッコウ,地下式給水栓,名古屋市守山区,鳥神町248,35.20895257,136.9573149
1149,大森北小学校,オオモリキタショウガッコウ,地下式給水栓,名古屋市守山区,大森八龍一丁目1707,35.21347042,137.0019792
1150,長根台小学校,ナガネショウガッコウ,地下式給水栓,名古屋市緑区,古鳴海二丁目161-1,35.09757903,136.9595834
1151,鳴海東部小学校,ナルミトウブショウガッコウ,地下式給水栓,名古屋市緑区,平手北二丁目901,35.08593918,136.9911293
1152,平子小学校,ヒラコショウガッコウ,地下式給水栓,名古屋市緑区,平子が丘236,35.07410837,136.9609229
1153,浦里小学校,ウラサトショウガッコウ,地下式給水栓,名古屋市緑区,浦里一丁目77,35.08946043,136.9440626
1154,大高北小学校,オオダカキタショウガッコウ,地下式給水栓,名古屋市緑区,大高町字町屋川1,35.06977996,136.9373649
1155,東丘小学校,ヒガシオカショウガッコウ,地下式給水栓,名古屋市緑区,鳴海町字有松裏9,35.06903033,136.9733968
1156,片平小学校,カタヒラショウガッコウ,地下式給水栓,名古屋市緑区,鳴海町字片平18,35.08880424,136.9525465
1157,熊の前小学校,クマノマエショウガッコウ,地下式給水栓,名古屋市緑区,亀が洞一丁目901,35.09503299,137.006977
1158,蓬来小学校,ヨモギショウガッコウ,地下式給水栓,名古屋市名東区,よもぎ台一丁目501,35.17797192,136.9892551
1159,香流小学校,カナレショウガッコウ,地下式給水栓,名古屋市名東区,香流二丁目1201,35.18748849,136.9928161
1160,高針小学校,タカバリショウガッコウ,地下式給水栓,名古屋市名東区,高針二丁目1103,35.15803586,137.0103444
1161,北一社小学校,キタイッシャショウガッコウ,地下式給水栓,名古屋市名東区,上菅一丁目101,35.17946488,136.9960482
1162,藤が丘小学校,フジガオカショウガッコウ,地下式給水栓,名古屋市名東区,藤が丘54,35.18408128,137.0204579
1163,上社小学校,カミヤシロショウガッコウ,地下式給水栓,名古屋市名東区,上社五丁目1002,35.1701335,137.0127868
1164,引山小学校,ヒキヤマショウガッコウ,地下式給水栓,名古屋市名東区,引山一丁目1105,35.18950317,136.9985373
1165,平和が丘小学校,ヘイワガオカショウガッコウ,地下式給水栓,名古屋市名東区,平和が丘一丁目1,35.17957275,136.9809829
1166,前山小学校,マエヤマショウガコウ,地下式給水栓,名古屋市名東区,牧の里二丁目1501,35.15251979,137.0047464
1167,（旧）しまだ小学校,キュウシマダショウガッコウ,地下式給水栓,名古屋市天白区,御前場町351,35.10977128,136.9946459
1168,平針小学校,ヒラバリショウガッコウ,地下式給水栓,名古屋市天白区,向が丘一丁目620,35.11763799,137.0042257
1169,表山小学校,オモテヤマショウガッコウ,地下式給水栓,名古屋市天白区,表山二丁目701,35.13100521,136.9645091
1170,植田北小学校,ウエダキタショウガッコウ,地下式給水栓,名古屋市天白区,焼山二丁目1302,35.14201176,136.9944807
